epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1396,5.9523,7.53318,4.25542,0,0,0,0,6.22916,9.00476,2.75372,0.0964,0.0004,0.0004
2,33.1534,5.90504,5.71196,4.21279,0,0,0,0,6.19697,8.74222,2.72153,0.0918911,0.00089109,0.00089109
3,46.7763,5.91784,5.53955,4.18428,0,0,0,0,6.15835,8.59248,2.68513,0.0873723,0.00137228,0.00137228
4,60.7963,5.95248,5.12013,4.1108,0,0,0,0,6.13649,8.54143,2.66495,0.0828436,0.00184357,0.00184357
5,74.5831,6.05088,5.39521,4.13282,0,0,0,0,6.10967,8.50045,2.64103,0.078305,0.00230496,0.00230496
6,86.8758,5.91195,5.0549,4.02007,0,0,0,0,6.09046,8.47952,2.62457,0.0737565,0.00275645,0.00275645
7,99.7656,5.8042,4.8277,3.99368,0,0,0,0,6.05637,8.44243,2.5966,0.069198,0.00319804,0.00319804
8,112.357,5.77754,4.7946,3.94605,0,0,0,0,6.03129,8.41656,2.57727,0.0646297,0.00362973,0.00362973
9,127.5,5.69153,4.65032,3.88867,0,0,0,0,5.99225,8.37788,2.5482,0.0600515,0.00405152,0.00405152
10,143.063,5.53945,4.56254,3.87512,0,0,0,0,5.96673,8.35243,2.52903,0.0554634,0.00446341,0.00446341
11,157.524,5.24746,4.55536,3.82866,0,0,0,0,5.94545,8.33381,2.51174,0.0508654,0.0048654,0.0048654
12,172.391,4.97041,4.45607,3.82075,0,0,0,0,5.93039,8.32225,2.49874,0.0462575,0.00525749,0.00525749
13,186.399,4.80722,4.3471,3.75171,0,0,0,0,5.9259,8.32044,2.49465,0.0416397,0.00563968,0.00563968
14,201.653,4.72549,4.36089,3.73635,0,0,0,0,5.91981,8.31887,2.48807,0.037012,0.00601197,0.00601197
15,216.114,4.45791,4.06378,3.66878,0,0,0,0,5.9179,8.32329,2.48502,0.0323744,0.00637436,0.00637436
16,230.636,4.19059,3.81052,3.52021,0,0,0,0,5.919,8.32772,2.48458,0.0277268,0.00672685,0.00672685
17,245.621,3.52751,3.46998,3.47274,0,0,0,0,5.91788,8.33816,2.48373,0.0230694,0.00706944,0.00706944
18,260.158,3.38572,3.24774,3.40206,0,0,0,0,5.91463,8.34338,2.48229,0.0184021,0.00740213,0.00740213
19,274.275,3.56699,3.24144,3.00067,0,0,0,0,5.91806,8.35493,2.48512,0.0137249,0.00772492,0.00772492
20,289.024,3.0694,2.69212,3.07155,0,0,0,0,5.9214,8.36867,2.48972,0.00903781,0.00803781,0.00803781
21,303.544,2.93561,2.57651,2.72587,0,0,0,0,5.92833,8.37251,2.49591,0.00802,0.00802,0.00802
22,318.005,2.84509,2.45468,2.57773,0,0,0,0,5.92205,8.37034,2.49405,0.007921,0.007921,0.007921
23,333.194,2.70967,2.32916,2.24856,0,0,0,0,5.9257,8.38113,2.49765,0.007822,0.007822,0.007822
24,347.96,2.58156,2.41777,2.32497,0,0,0,0,5.79024,8.29768,2.44122,0.007723,0.007723,0.007723
25,362.194,2.46445,2.01641,2.11117,0,0,0,0,5.68482,8.25195,2.39957,0.007624,0.007624,0.007624
26,377.853,2.3537,1.91837,2.20328,0.00551,0.06667,0.00295,0.00073,4.8904,7.85823,2.15466,0.007525,0.007525,0.007525
27,396.554,2.35997,1.89211,2.12065,0.01307,0.2,0.0991,0.01887,4.51696,7.21821,2.05588,0.007426,0.007426,0.007426
28,418.731,2.11202,1.88304,2.00845,0.61836,0.13333,0.17296,0.04018,3.4149,5.21215,1.68635,0.007327,0.007327,0.007327
29,440.528,2.14375,1.82493,2.04208,0.2718,0.2,0.14144,0.02626,2.87648,5.0561,1.5723,0.007228,0.007228,0.007228
30,461.664,1.96499,1.69177,1.89908,0.31638,0.26667,0.18701,0.06081,2.69106,3.75359,1.48299,0.007129,0.007129,0.007129
31,482.509,1.8198,1.50595,1.8051,0.42632,0.3,0.26262,0.06161,2.52054,3.94763,1.4267,0.00703,0.00703,0.00703
32,504.55,1.98211,1.55256,1.77842,0.44802,0.16667,0.11619,0.02188,2.79586,3.24345,1.45042,0.006931,0.006931,0.006931
33,527.916,2.01346,1.42287,1.80245,0.22945,0.13333,0.08807,0.03323,2.18634,3.28863,1.38459,0.006832,0.006832,0.006832
34,548.968,2.01631,1.36626,1.78267,0.39955,0.33333,0.24323,0.09252,2.20456,2.90424,1.34874,0.006733,0.006733,0.006733
35,569.668,1.9985,1.42504,1.74149,0.3574,0.36667,0.23732,0.10364,1.8239,2.98741,1.22459,0.006634,0.006634,0.006634
36,593.293,1.79319,1.21392,1.70408,0.48701,0.33333,0.25002,0.1109,1.69143,2.48806,1.14432,0.006535,0.006535,0.006535
37,615.319,1.80074,1.26757,1.6889,0.38042,0.36667,0.22647,0.08186,2.11593,2.60662,1.23797,0.006436,0.006436,0.006436
38,639.435,1.70461,1.22161,1.57475,0.41466,0.46667,0.24363,0.10643,1.7488,2.79056,1.16426,0.006337,0.006337,0.006337
39,660.162,1.7011,1.36566,1.62467,0.47868,0.4,0.24954,0.10627,1.71489,2.41254,1.07043,0.006238,0.006238,0.006238
40,682.22,1.51555,1.14562,1.44395,0.21858,0.1,0.03564,0.0085,2.26953,3.16644,1.21625,0.006139,0.006139,0.006139
41,710.765,1.59496,1.41024,1.58934,0.39618,0.2,0.10899,0.04202,1.69055,3.43918,1.08937,0.00604,0.00604,0.00604
42,733.465,1.63564,1.21552,1.5902,0.0658,0.06667,0.01833,0.00333,2.3167,3.69051,1.28961,0.005941,0.005941,0.005941
43,758.078,1.59112,1.21442,1.44142,0.49745,0.4,0.25879,0.11946,1.51779,3.12159,1.02899,0.005842,0.005842,0.005842
44,783.817,2.26391,1.89004,1.8807,0.42816,0.4,0.23786,0.07108,2.4274,2.85759,1.30973,0.005743,0.005743,0.005743
45,809.736,1.73584,1.13835,1.58047,0.48074,0.43333,0.31216,0.1575,1.39065,2.25047,0.98355,0.005644,0.005644,0.005644
46,836.164,1.56823,1.07734,1.48875,0.4168,0.46667,0.29306,0.1277,1.52073,2.24603,0.99675,0.005545,0.005545,0.005545
47,864.15,1.54127,1.02127,1.40519,0.52987,0.43333,0.33337,0.14001,1.35526,2.16264,0.94783,0.005446,0.005446,0.005446
48,888.479,1.48872,1.02359,1.43437,0.24907,0.06667,0.02287,0.00346,1.29441,2.32754,0.9171,0.005347,0.005347,0.005347
49,913.845,1.52118,1.08551,1.458,0.29803,0.1,0.03613,0.01013,1.3337,2.38581,0.90622,0.005248,0.005248,0.005248
50,946.04,1.55287,1.13299,1.51265,0.23697,0.06667,0.02034,0.00446,1.28355,2.10134,0.8956,0.005149,0.005149,0.005149
51,971.91,1.45007,0.98183,1.33744,0.48663,0.4,0.27231,0.11363,1.34138,2.13668,0.90303,0.00505,0.00505,0.00505
52,996.782,1.451,1.02758,1.453,0.54075,0.36667,0.30114,0.15325,1.29742,2.25455,0.88345,0.004951,0.004951,0.004951
53,1023.88,1.30638,0.93509,1.31547,0.09683,0.06667,0.0125,0.0036,1.31257,2.49519,0.88066,0.004852,0.004852,0.004852
54,1049.78,1.43725,1.00769,1.40261,0.31968,0.06667,0.02416,0.00473,1.27014,2.19324,0.87072,0.004753,0.004753,0.004753
55,1075.83,1.38996,0.96946,1.40621,0.07647,0.06667,0.01062,0.00359,1.2639,2.0959,0.86195,0.004654,0.004654,0.004654
56,1106.87,1.28655,0.90131,1.25796,0.08687,0.06667,0.01263,0.0036,1.29749,2.14001,0.86171,0.004555,0.004555,0.004555
57,1137.19,1.12818,0.83197,1.18154,0.50733,0.4,0.28232,0.1411,1.19962,2.04702,0.83187,0.004456,0.004456,0.004456
58,1166.01,1.2297,0.87107,1.21377,0.55335,0.4,0.28548,0.13118,1.41013,2.27766,0.90932,0.004357,0.004357,0.004357
59,1195.68,1.28288,0.93672,1.28928,0.62101,0.4,0.277,0.1423,1.22717,1.85237,0.84397,0.004258,0.004258,0.004258
60,1223.23,1.18657,0.87978,1.24455,0.42776,0.46667,0.26646,0.14911,1.22608,1.87967,0.83797,0.004159,0.004159,0.004159
61,1252.9,1.20055,0.88587,1.26313,0.42882,0.43333,0.28026,0.14501,1.35602,1.99983,0.87027,0.00406,0.00406,0.00406
62,1281.79,1.10566,0.83981,1.18124,0.45296,0.5,0.27904,0.1494,1.06473,1.68515,0.78125,0.003961,0.003961,0.003961
63,1311.76,1.16882,0.83131,1.25605,0.43878,0.52143,0.27642,0.13835,1.37209,1.8095,0.88295,0.003862,0.003862,0.003862
64,1342.03,1.17592,0.83308,1.20038,0.4434,0.53114,0.26751,0.13491,1.3438,1.88338,0.85419,0.003763,0.003763,0.003763
65,1370.59,1.08213,0.82373,1.19744,0.44551,0.53333,0.29273,0.15035,1.1969,1.68211,0.81538,0.003664,0.003664,0.003664
66,1397.58,1.13971,0.82306,1.20426,0.45427,0.5,0.2785,0.15851,1.02881,1.6558,0.75841,0.003565,0.003565,0.003565
67,1419.46,1.21518,0.8502,1.24123,0.43181,0.53333,0.31014,0.16746,1.23678,1.69439,0.82458,0.003466,0.003466,0.003466
68,1443.03,1.16094,0.83651,1.15703,0.49418,0.46667,0.30837,0.17261,1.2206,1.81246,0.81686,0.003367,0.003367,0.003367
69,1468.39,1.10789,0.80821,1.12918,0.40111,0.46667,0.25878,0.15341,1.2355,1.69633,0.79258,0.003268,0.003268,0.003268
70,1492.06,1.0654,0.82149,1.14099,0.46146,0.46667,0.27804,0.15956,1.13532,1.60347,0.78231,0.003169,0.003169,0.003169
71,1517.02,1.15095,0.82786,1.20847,0.41024,0.5,0.2766,0.16567,1.01493,1.58108,0.73642,0.00307,0.00307,0.00307
72,1543.18,1.1394,0.79415,1.18074,0.43405,0.5,0.27069,0.17376,1.00816,1.56026,0.73636,0.002971,0.002971,0.002971
73,1572.7,1.06205,0.75146,1.11348,0.4753,0.5,0.27622,0.17205,1.04813,1.56653,0.74944,0.002872,0.002872,0.002872
74,1597.47,1.15021,0.82442,1.1971,0.49052,0.5,0.30108,0.19505,1.01645,1.58228,0.74176,0.002773,0.002773,0.002773
75,1625.08,1.03776,0.80652,1.08814,0.48804,0.5,0.29036,0.19847,1.07196,1.57807,0.76463,0.002674,0.002674,0.002674
76,1650.86,1.02292,0.75252,1.13694,0.47557,0.5,0.27547,0.17692,1.00468,1.49237,0.73632,0.002575,0.002575,0.002575
77,1676.55,1.00922,0.72811,1.12812,0.50157,0.4,0.27647,0.17337,1.29702,1.82121,0.82847,0.002476,0.002476,0.002476
78,1702.21,1.04845,0.7499,1.09585,0.48971,0.5,0.29575,0.17397,1.35338,1.88336,0.84881,0.002377,0.002377,0.002377
79,1729.26,0.94934,0.73947,1.11457,0.49908,0.5,0.29258,0.18464,1.04483,1.49579,0.74207,0.002278,0.002278,0.002278
80,1759.1,1.03067,0.73883,1.07746,0.49658,0.4934,0.29242,0.19329,0.99528,1.51561,0.73238,0.002179,0.002179,0.002179
81,1786.73,1.01816,0.76814,1.07472,0.49223,0.46667,0.27283,0.18314,0.99002,1.48385,0.73284,0.00208,0.00208,0.00208
82,1812.16,1.06903,0.8033,1.17137,0.24032,0.06667,0.02053,0.00941,1.33258,1.97465,0.832,0.001981,0.001981,0.001981
83,1843.99,1.03795,0.75894,1.15193,0.50683,0.43333,0.25673,0.172,1.13083,1.72082,0.7672,0.001882,0.001882,0.001882
84,1872.56,0.99766,0.74564,1.09656,0.45522,0.56667,0.29057,0.18133,1.04989,1.51911,0.74458,0.001783,0.001783,0.001783
85,1899.77,1.00838,0.76201,1.11568,0.48068,0.5,0.29447,0.17255,1.12522,1.58148,0.76473,0.001684,0.001684,0.001684
86,1922.47,1.02419,0.73697,1.08652,0.464,0.51964,0.2936,0.16338,1.18895,1.72375,0.79667,0.001585,0.001585,0.001585
87,1946.41,0.93762,0.69592,1.07104,0.47733,0.5,0.29899,0.17873,1.05432,1.52789,0.74267,0.001486,0.001486,0.001486
88,1968.89,0.90366,0.70524,1.07381,0.49585,0.5,0.29312,0.18047,1.00575,1.48387,0.72674,0.001387,0.001387,0.001387
89,1988.8,1.11377,0.80229,1.23633,0.49384,0.5,0.29469,0.17709,1.04496,1.46863,0.73901,0.001288,0.001288,0.001288
