epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9451,5.89061,7.37159,4.20208,0,0,0,0,6.23256,9.07078,2.75718,0.0964,0.0004,0.0004
2,35.4601,5.78932,5.89206,4.17981,0,0,0,0,6.20455,8.83005,2.72885,0.0918911,0.00089109,0.00089109
3,48.31,5.82553,5.63193,4.13081,0,0,0,0,6.17158,8.68977,2.69705,0.0873723,0.00137228,0.00137228
4,60.7447,5.86315,5.20538,4.09673,0,0,0,0,6.1527,8.64209,2.67932,0.0828436,0.00184357,0.00184357
5,75.2633,5.94597,5.50387,4.0918,0,0,0,0,6.13437,8.61065,2.66267,0.078305,0.00230496,0.00230496
6,88.8409,5.73266,5.15421,4.04436,0,0,0,0,6.12204,8.59474,2.65186,0.0737565,0.00275645,0.00275645
7,102.975,5.72058,4.93017,4.00607,0,0,0,0,6.10434,8.57282,2.63682,0.069198,0.00319804,0.00319804
8,116.247,5.49643,4.83365,4.00789,0,0,0,0,6.09048,8.55577,2.62573,0.0646297,0.00362973,0.00362973
9,129.279,5.49133,4.74809,3.96268,0,0,0,0,6.07438,8.53633,2.61334,0.0600515,0.00405152,0.00405152
10,142.774,5.29792,4.70567,3.93676,0,0,0,0,6.06554,8.52484,2.60681,0.0554634,0.00446341,0.00446341
11,156.288,4.93507,4.66351,3.86332,0,0,0,0,6.0594,8.51722,2.60258,0.0508654,0.0048654,0.0048654
12,169.421,4.81866,4.5871,3.84942,0,0,0,0,6.05567,8.51212,2.60069,0.0462575,0.00525749,0.00525749
13,182.029,4.8402,4.59187,3.84845,0,0,0,0,6.05501,8.51123,2.60088,0.0416397,0.00563968,0.00563968
14,195.244,4.91819,4.65639,3.69989,0,0,0,0,6.05351,8.5087,2.60175,0.037012,0.00601197,0.00601197
15,209.219,4.85005,4.44762,3.68431,0,0,0,0,6.05302,8.50968,2.60396,0.0323744,0.00637436,0.00637436
16,221.48,4.34407,4.29214,3.30208,0,0,0,0,6.05532,8.51423,2.60787,0.0277268,0.00672685,0.00672685
17,235.533,3.44917,3.64213,3.22564,0,0,0,0,6.06205,8.52978,2.61962,0.0230694,0.00706944,0.00706944
18,248.874,3.11885,3.06965,3.15967,0,0,0,0,6.06696,8.54338,2.62964,0.0184021,0.00740213,0.00740213
19,262.661,3.33429,3.02458,2.78649,0,0,0,0,6.07107,8.55114,2.63978,0.0137249,0.00772492,0.00772492
20,276.633,2.83866,2.67934,2.77864,0,0,0,0,6.0845,8.56834,2.66291,0.00903781,0.00803781,0.00803781
21,290.557,2.61794,2.59081,2.43011,0,0,0,0,6.08793,8.5796,2.66935,0.00802,0.00802,0.00802
22,305.834,2.65225,2.44029,2.44505,0,0,0,0,6.06746,8.61283,2.63683,0.007921,0.007921,0.007921
23,320.052,2.55142,2.51919,2.24962,0,0,0,0,6.10217,8.60689,2.6945,0.007822,0.007822,0.007822
24,335.702,2.32771,2.22886,2.23915,0.00998,0.13333,0.09221,0.04726,5.15581,8.17344,2.32114,0.007723,0.007723,0.007723
25,354.874,2.35899,2.10645,2.0386,0.0203,0.4,0.20769,0.07744,2.21694,6.27244,1.44563,0.007624,0.007624,0.007624
26,375.164,2.13326,2.07914,2.0611,0.27758,0.2,0.1901,0.07753,2.06855,3.99002,1.29528,0.007525,0.007525,0.007525
27,396.668,2.24309,2.10129,2.03099,0.31877,0.10983,0.15825,0.04546,1.87769,4.29741,1.22624,0.007426,0.007426,0.007426
28,415.804,2.13462,1.8849,1.94372,0.15838,0.06667,0.03131,0.00915,1.93016,4.19197,1.25962,0.007327,0.007327,0.007327
29,434.914,2.14084,2.0631,2.03197,0.46467,0.16667,0.1196,0.04105,2.13319,4.22231,1.39634,0.007228,0.007228,0.007228
30,453.333,1.91736,1.60796,1.78335,0.27941,0.2,0.10315,0.03362,2.17368,4.82466,1.49005,0.007129,0.007129,0.007129
31,470.753,1.95494,1.73791,1.82083,0.36528,0.2,0.12133,0.04107,2.00209,12.8291,1.42567,0.00703,0.00703,0.00703
32,490.695,1.95926,1.78302,1.73118,0.20567,0.16667,0.07926,0.0291,2.5484,45.3667,1.93718,0.006931,0.006931,0.006931
