epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6128,5.97354,8.12695,4.21109,0,0,0,0,6.24162,9.179,2.76674,0.0964,0.0004,0.0004
2,40.1963,5.89873,6.38172,4.18339,0,0,0,0,6.22576,8.92653,2.75047,0.0918911,0.00089109,0.00089109
3,57.8215,5.9497,6.24092,4.16046,0,0,0,0,6.20545,8.73183,2.73026,0.0873723,0.00137228,0.00137228
4,72.2791,6.00821,5.59813,4.12703,0,0,0,0,6.18773,8.62764,2.71276,0.0828436,0.00184357,0.00184357
5,85.9944,6.11146,5.88475,4.12884,0,0,0,0,6.16355,8.542,2.68993,0.078305,0.00230496,0.00230496
6,99.4099,5.93791,5.38724,4.05232,0,0,0,0,6.14449,8.50224,2.67256,0.0737565,0.00275645,0.00275645
7,113.438,5.87495,5.02943,4.01823,0,0,0,0,6.11184,8.4546,2.64396,0.069198,0.00319804,0.00319804
8,127.77,5.8738,4.8928,3.96148,0,0,0,0,6.08522,8.4249,2.62205,0.0646297,0.00362973,0.00362973
9,143.011,5.73071,4.70697,3.92689,0,0,0,0,6.04212,8.38316,2.58833,0.0600515,0.00405152,0.00405152
10,157.716,5.50938,4.63235,3.86203,0,0,0,0,6.01114,8.35583,2.56523,0.0554634,0.00446341,0.00446341
11,171.956,5.30164,4.60457,3.8297,0,0,0,0,5.98128,8.33563,2.54362,0.0508654,0.0048654,0.0048654
12,188.548,5.0514,4.48942,3.73996,0,0,0,0,5.95488,8.32127,2.52521,0.0462575,0.00525749,0.00525749
13,204.536,4.84588,4.4014,3.616,0,0,0,0,5.9449,8.31805,2.51803,0.0416397,0.00563968,0.00563968
14,220.798,4.78666,4.43376,3.55491,0,0,0,0,5.92738,8.3136,2.50535,0.037012,0.00601197,0.00601197
15,236.623,4.62129,4.3221,3.47902,0,0,0,0,5.91683,8.31685,2.49686,0.0323744,0.00637436,0.00637436
16,250.884,3.77099,3.89579,3.13231,0,0,0,0,5.91725,8.32307,2.49578,0.0277268,0.00672685,0.00672685
17,268.949,3.14455,3.48149,3.05922,0,0,0,0,5.92693,8.34414,2.49888,0.0230694,0.00706944,0.00706944
18,284.116,3.10898,3.09384,3.03338,0,0,0,0,5.93802,8.36596,2.50464,0.0184021,0.00740213,0.00740213
19,298.336,3.5579,2.98445,2.79499,0,0,0,0,5.95906,8.39244,2.51885,0.0137249,0.00772492,0.00772492
20,313.241,2.91508,2.58979,2.62343,0,0,0,0,5.95557,8.43044,2.5176,0.00903781,0.00803781,0.00803781
21,327.854,2.6971,2.63618,2.46171,0,0,0,0,5.94077,8.46063,2.50719,0.00802,0.00802,0.00802
22,341.107,2.90156,2.62505,2.44047,0,0,0,0,5.78398,8.45637,2.42621,0.007921,0.007921,0.007921
23,357.811,2.57345,2.35635,2.10901,0.00264,0.03333,0.03627,0.00363,5.11771,8.15321,2.15534,0.007822,0.007822,0.007822
24,378.404,2.40846,2.31015,2.1856,0.02079,0.3,0.1484,0.05914,3.39718,6.63436,1.70568,0.007723,0.007723,0.007723
25,401.524,2.33384,1.861,1.97395,0.01841,0.43333,0.24593,0.09602,2.4953,5.9815,1.57677,0.007624,0.007624,0.007624
26,424.574,2.26182,1.80892,2.12633,0.51712,0.26667,0.23552,0.06666,2.25174,4.51199,1.35566,0.007525,0.007525,0.007525
27,446.299,2.24527,1.71122,2.04123,0.56857,0.3,0.23388,0.1012,1.96309,4.22439,1.31154,0.007426,0.007426,0.007426
28,465.95,2.24095,1.63995,1.92406,0.42472,0.23333,0.15416,0.06704,1.86656,3.79064,1.16593,0.007327,0.007327,0.007327
29,487.48,2.15973,1.99982,2.0581,0.39394,0.23333,0.1403,0.0468,2.13654,3.97916,1.22761,0.007228,0.007228,0.007228
30,507.975,1.92663,1.74009,1.81353,0.3955,0.2,0.12456,0.04506,1.98036,3.61031,1.16358,0.007129,0.007129,0.007129
31,527.581,1.90861,1.41865,1.79111,0.39636,0.2,0.11186,0.03687,2.02721,3.58163,1.20955,0.00703,0.00703,0.00703
32,548.755,1.9417,1.44,1.74367,0.17417,0.06667,0.01561,0.00421,2.00251,3.39379,1.18878,0.006931,0.006931,0.006931
33,574.437,1.89631,1.48757,1.82083,0.47605,0.13333,0.09646,0.01249,2.56398,3.6667,1.33554,0.006832,0.006832,0.006832
34,595.977,1.98882,1.43185,1.72524,0.36308,0.16667,0.09697,0.02762,2.01772,4.55191,1.16544,0.006733,0.006733,0.006733
35,618.09,1.77596,1.28106,1.67817,0.47599,0.4,0.27678,0.09289,2.0334,3.28249,1.17795,0.006634,0.006634,0.006634
36,639.269,1.7734,1.26784,1.70183,0.41026,0.4,0.24682,0.11059,1.77675,2.7644,1.0528,0.006535,0.006535,0.006535
37,661.697,1.77499,1.20266,1.64424,0.47321,0.36667,0.22994,0.11634,1.55049,2.77979,1.02019,0.006436,0.006436,0.006436
38,685.208,1.66028,1.21286,1.5302,0.41284,0.36667,0.23897,0.11608,1.73887,2.61262,1.06628,0.006337,0.006337,0.006337
39,708.771,1.68726,1.22916,1.60847,0.43647,0.36162,0.2096,0.11836,1.48657,2.50837,1.003,0.006238,0.006238,0.006238
40,731.476,1.5246,1.10139,1.50539,0.38051,0.36667,0.25082,0.12266,1.54606,2.27773,1.00596,0.006139,0.006139,0.006139
41,756.57,1.53101,1.34035,1.56101,0.39857,0.36667,0.28779,0.13036,1.68848,2.99361,1.05261,0.00604,0.00604,0.00604
42,779,1.59289,1.26109,1.56157,0.49212,0.3,0.23541,0.08674,1.94567,2.8137,1.13225,0.005941,0.005941,0.005941
43,801.198,1.50291,1.20799,1.39549,0.31553,0.1,0.06755,0.02469,1.49801,2.87878,0.98372,0.005842,0.005842,0.005842
44,833.116,1.51008,1.17612,1.48176,0.32698,0.06667,0.03525,0.01129,1.55463,2.36293,0.987,0.005743,0.005743,0.005743
45,864.447,1.52332,1.02597,1.50871,0.32812,0.06667,0.0348,0.01224,1.40486,2.40649,0.94196,0.005644,0.005644,0.005644
