epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1719,5.94401,7.35282,4.21708,0,0,0,0,6.22509,8.95574,2.75121,0.0964,0.0004,0.0004
2,35.5333,5.89183,5.723,4.18123,0,0,0,0,6.19075,8.69343,2.71863,0.0918911,0.00089109,0.00089109
3,50.2335,5.90262,5.40767,4.11368,0,0,0,0,6.14368,8.52499,2.67671,0.0873723,0.00137228,0.00137228
4,64.6184,5.92838,5.06431,4.04403,0,0,0,0,6.11002,8.45659,2.64807,0.0828436,0.00184357,0.00184357
5,79.3322,6.00919,5.24085,3.99726,0,0,0,0,6.06751,8.39839,2.61471,0.078305,0.00230496,0.00230496
6,92.6909,5.84895,4.94998,3.92733,0,0,0,0,6.0361,8.36923,2.59117,0.0737565,0.00275645,0.00275645
7,108.728,5.75402,4.70825,3.88364,0,0,0,0,5.98084,8.31828,2.55257,0.069198,0.00319804,0.00319804
8,122.176,5.74063,4.65956,3.78778,0,0,0,0,5.9329,8.27536,2.52097,0.0646297,0.00362973,0.00362973
9,136.047,5.5795,4.50382,3.7184,0,0,0,0,5.8641,8.21503,2.477,0.0600515,0.00405152,0.00405152
10,150.604,5.31686,4.41086,3.66705,0,0,0,0,5.81058,8.17129,2.44998,0.0554634,0.00446341,0.00446341
11,165.269,4.99707,4.36615,3.55868,0,0,0,0,5.7581,8.13339,2.42456,0.0508654,0.0048654,0.0048654
12,180.385,4.73901,4.29059,3.50261,0,0,0,0,5.71287,8.1008,2.40345,0.0462575,0.00525749,0.00525749
13,194.6,4.5571,4.23011,3.39581,0,0,0,0,5.69494,8.08828,2.39469,0.0416397,0.00563968,0.00563968
14,209.765,4.42453,4.25261,3.31105,0,0,0,0,5.6647,8.06615,2.37846,0.037012,0.00601197,0.00601197
15,225.268,4.30937,4.14484,3.23534,0,0,0,0,5.63649,8.05041,2.36472,0.0323744,0.00637436,0.00637436
16,239.446,4.05547,3.95994,2.98576,0,0,0,0,5.62533,8.04509,2.35931,0.0277268,0.00672685,0.00672685
17,255.35,3.4405,3.81602,2.95853,0,0,0,0,5.64301,8.05149,2.36861,0.0230694,0.00706944,0.00706944
18,269.241,3.31794,3.54382,2.9482,0,0,0,0,5.65117,8.05888,2.37226,0.0184021,0.00740213,0.00740213
19,283.665,3.6039,3.19489,2.65194,0,0,0,0,5.63163,8.06122,2.3622,0.0137249,0.00772492,0.00772492
20,299.226,3.19058,2.98041,2.60204,0,0,0,0,5.72399,8.11589,2.41187,0.00903781,0.00803781,0.00803781
21,314.593,3.04612,2.51837,2.41023,0,0,0,0,5.75221,8.13988,2.42528,0.00802,0.00802,0.00802
22,330.42,3.15563,2.49787,2.4982,0,0,0,0,5.7353,8.1561,2.40869,0.007921,0.007921,0.007921
23,346.553,2.82426,2.61091,2.15608,0,0,0,0,5.78874,8.18491,2.43343,0.007822,0.007822,0.007822
