epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1943,5.67595,6.96779,4.27329,0,0,0,0,6.07141,8.90368,2.75498,0.0964,0.0004,0.0004
2,41.2155,6.0102,6.35592,4.17729,0,0,0,0,6.04491,8.71879,2.73242,0.0918911,0.00089109,0.00089109
3,58.8093,5.97759,5.52667,4.14174,0,0,0,0,6.00528,8.58726,2.69987,0.0873723,0.00137228,0.00137228
4,75.6239,5.64103,5.21877,4.09138,0,0,0,0,5.97985,8.5388,2.68012,0.0828436,0.00184357,0.00184357
5,91.2814,5.98814,5.36661,4.04146,0,0,0,0,5.95276,8.50584,2.6604,0.078305,0.00230496,0.00230496
6,107.89,5.84649,5.06399,4.02642,0,0,0,0,5.93322,8.48636,2.64659,0.0737565,0.00275645,0.00275645
7,125.979,5.85303,5.04228,3.97456,0,0,0,0,5.90207,8.46246,2.62535,0.069198,0.00319804,0.00319804
8,142.58,5.85635,4.91713,3.92274,0,0,0,0,5.88056,8.44654,2.61135,0.0646297,0.00362973,0.00362973
9,158.45,5.62916,4.72055,3.88289,0,0,0,0,5.85126,8.42337,2.59277,0.0600515,0.00405152,0.00405152
10,173.275,5.48524,4.6162,3.88785,0,0,0,0,5.83281,8.40637,2.58135,0.0554634,0.00446341,0.00446341
11,188.511,5.49659,4.60365,3.85359,0,0,0,0,5.81137,8.38383,2.56811,0.0508654,0.0048654,0.0048654
12,205.923,5.40184,4.69182,3.78816,0,0,0,0,5.79603,8.36909,2.55875,0.0462575,0.00525749,0.00525749
13,222.358,5.28429,4.43373,3.69881,0,0,0,0,5.79025,8.36282,2.55517,0.0416397,0.00563968,0.00563968
14,240.349,5.17266,4.41526,3.73734,0,0,0,0,5.78235,8.35384,2.55026,0.037012,0.00601197,0.00601197
15,256.254,5.03064,4.33316,3.62566,0,0,0,0,5.77743,8.34809,2.54674,0.0323744,0.00637436,0.00637436
16,272.922,4.79665,4.25988,3.45698,0,0,0,0,5.77679,8.34709,2.54598,0.0277268,0.00672685,0.00672685
17,290.575,4.80882,4.26534,3.48616,0,0,0,0,5.77751,8.34913,2.54558,0.0230694,0.00706944,0.00706944
18,306.512,4.7774,4.2978,3.46168,0,0,0,0,5.77716,8.35132,2.54536,0.0184021,0.00740213,0.00740213
19,323.294,4.75743,4.22684,3.47188,0,0,0,0,5.77681,8.355,2.54503,0.0137249,0.00772492,0.00772492
20,339.087,4.36268,4.03357,3.32038,0,0,0,0,5.7774,8.36365,2.54483,0.00903781,0.00803781,0.00803781
